"DocCode","TypeCode","DocName","Category","Bytes","RptHash"
"RCT10002","RCT1","Incoming Payment - CR (GB) (System)","C","158208","AF36D12192E1D8970184CD4CFA154FF4"
"RCT10003","RCT1","Incoming Payment Draft - CR (GB) (System)","C","154624","0CBA9118C2F71250FB3C8134FC7A31FB"
"RCT10004","RCT1","1.Incoming Payments_ใบเสร็จรับเงิน","C","88576","B18D5339F013D8930AD90A95AD20B601"
"RCT10005","RCT1","2.Incoming Payments_ใบเสร็จรับเงิน/ใบกำกับภาษี","C","90624","3A67E609B008B16552D2B967E00C1909"
"RCT30001","RCT3","Bill of Exchange Receipt (System)","P","",""
"RCT30003","RCT3","Letter to Customer (System)","P","",""
"RCT30005","RCT3","Bill of Exchange Letter for Unpaid (System)","P","",""
"RCT30007","RCT3","Bill of Exchange Generation (System)","P","",""
"RDN10001","RDN1","Returns (System)","P","",""
"RDN10002","RDN1","Return (Service) - CR (GB) (System)","C","218112","EF7E53094741B51A7194061F9AA3BC0F"
"RDN10003","RDN1","Returns (DIN) (System)","P","",""
"RDN20001","RDN2","Returns (System)","P","",""
"RDN20002","RDN2","Return (Item) - CR (GB) (System)","C","264192","68143823B5F8BC4831E799D4434CE5BF"
"RDN20003","RDN2","Returns Master Template (System)","P","",""
"RDN20004","RDN2","1.Retrun_ใบรับคืนสินค้า","C","94720","0B3C7DA2FE9B66001ADF7D1D6C7AC2EC"
"RDN20005","RDN2","Returns Including Batch/SN (System)","P","",""
"RDN20006","RDN2","2.Retrun_ใบรับคืนสินค้า_(Batch&Serial)","C","106496","C200804B398A0C802609C18FFF62EFC6"
"RDN20007","RDN2","Returns (DIN) (System)","P","",""
"RDN30001","RDN3","Returns (System)","P","",""
"RDR10001","RDR1","Sales Order (System)","P","",""
"RDR10002","RDR1","AR Sales Order (Service) - CR (GB) (System)","C","208896","16DC726BDD771E3C510E28463132B322"
"RDR10003","RDR1","Sales Order (DIN) (System)","P","",""
"RDR20001","RDR2","Order Master Template (System)","P","",""
"RDR20002","RDR2","AR Sales Order (Item) - CR (GB) (System)","C","269312","19977FBEA0C7714CECF44699A6405DE3"
"RDR20003","RDR2","Pick List (System)","P","",""
"RDR20004","RDR2","1.Sale Order_ใบสั่งขาย","C","96768","10F7B8D19977F51B30E34C231918DD2A"
"RDR20005","RDR2","Order Confirmation (System)","P","",""
"RDR20006","RDR2","2.Sale Order_ใบสั่งขาย_(Dis)","C","393728","17E80BFB0DCBC45BAA12D4595C571ABA"
"RDR20007","RDR2","Order Confirmation (DIN) (System)","P","",""
"RDR20008","RDR2","1.Sale Order_ใบสั่งขาย_(Bom)","C","439296","F4B5822885D49627EE352BF9F43D2485"
"RDR30001","RDR3","Sales Order (System)","P","",""
"RDR40001","RDR4","Order - Pick (System)","P","",""
"RDR50001","RDR5","Sales Order - Assembly BOM Report (System)","P","",""
"REC10001","REC1","VAT Reconciliation Report (System)","P","",""
"REC10002","REC1","VAT Reconciliation Report - CR (GB) (System)","C","66048","605FAD5FBDB7E0067ABA44E96F01059B"
"RIN10001","RIN1","Credit Note (System)","P","",""
"RIN10002","RIN1","AR Credit Note (Service) - CR (GB) (System)","C","235520","0E26E7BC63034FE07ECB2EE69A4AE2BA"
"RIN10003","RIN1","Credit Note (DIN) (System)","P","",""
"RIN20001","RIN2","Credit Note (System)","P","",""
"RIN20002","RIN2","AR Credit Note (Item) - CR (GB) (System)","C","284672","90B091B4FD88123E86ED516E77504EAA"
"RIN20003","RIN2","Credit Master Template (System)","P","",""
"RIN20004","RIN2","1.A/R_Credit Memo_ใบลดหนี้","C","98816","A59FB25D6C59C7EFDB43CCD570504D3F"
"RIN20005","RIN2","Credit Note Including Batch/SN (System)","P","",""
"RIN20006","RIN2","2.A/R_Credit Memo_ใบลดหนี้_(Dis)","C","98816","74F0153C751F2C104EB2B8434A33CE84"
"RIN20007","RIN2","Credit Note (DIN) (System)","P","",""
"RIN20008","RIN2","3.A/R_Credit Memo_ใบลดหนี้_(Batch&Serial)","C","117248","65D4FD34C906466B54AE8EDDB05B94E8"
"RIN30001","RIN3","Credit Note (System)","P","",""
"RLR10001","RLR1","Release Report List (System)","P","",""
"RLR20001","RLR2","Pick List (System)","P","",""
"RLR20002","RLR2","Pick List Including Batch/SN - CR (System)","C","124416","780996BC3009724937619FA26E2CBAE1"
"RLR30001","RLR3","Pick and Pack Manager-Open Status (System)","P","",""
"RLR40001","RLR4","Pick and Pack - Assembly (System)","P","",""
"RPC10001","RPC1","Credit Note (System)","P","",""
"RPC10002","RPC1","AP Credit Note (Service) - CR (GB) (System)","C","181760","52F78F30404B17308A4DFF7A1722895F"
"RPC10003","RPC1","Credit Note (DIN) (System)","P","",""
"RPC20001","RPC2","Credit Note (System)","P","",""
"RPC20002","RPC2","AP Credit Note (Items) - CR (GB) (System)","C","233472","ADF45D157BA3DC2662D521224F189B08"
"RPC20003","RPC2","Credit Note (DIN) (System)","P","",""
"RPC20004","RPC2","1.A/P Credit Memo_ใบลดหนี้","C","96768","DDE95939A6E6F6A5186C2491C303E875"
"RPC30001","RPC3","Credit Note (System)","P","",""
"RPD10001","RPD1","Returns (System)","P","",""
"RPD10002","RPD1","Returns (Service) - CR (GB) (System)","C","202752","C7BAABFB74A869E7C6E344B1BE4A69C3"
"RPD10003","RPD1","Returns (DIN) (System)","P","",""
"RPD20001","RPD2","Returns (System)","P","",""
"RPD20002","RPD2","Returns (Item) - CR (GB) (System)","C","249856","D6A03E0E199EE8720EE6370BF7764CE0"
"RPD20003","RPD2","Returns (DIN) (System)","P","",""
"RPD20004","RPD2","1.Goods Return_ใบส่งคืนสินค้า","C","97280","051EF30114A66A01B2E94D8B07C0D5C6"
"RPD20005","RPD2","2.Goods Return_ใบส่งคืนสินค้า_(Batch&Serial)","C","107520","A4B4B466AA4FF8E822D5C29F556AA992"
"RPD30001","RPD3","Returns (System)","P","",""
"RRR20001","RRR2","Return Request (Item) - CR (US) (System)","C","264192","906C0E8797E52A858A1E827BCEC267ED"
"SA010001","SA01","Sales Analysis by BP Code (System)","P","",""
"SA010002","SA01","Annual Sales Analysis (by Customer) - CR (GB) (System)","C","70144","6919EDAF215211701C24D02F856C51FD"
"SA020001","SA02","Sales Analysis by BP Groups (System)","P","",""
"SA020002","SA02","Annual Sales Analysis (by Customer Group) - CR (GB) (System)","C","69120","D55B85467F862B5C1F8B39AA0241952D"
"SA030001","SA03","Sales Analysis by Items (System)","P","",""
"SA030002","SA03","Periodic Sales Analysis (by Customer) - CR (GB) (System)","C","74752","754E8ADC699F58F4BCE56EC6D542E47F"
"SA040001","SA04","Sales Analysis by Item Groups (System)","P","",""
"SA040002","SA04","Sales Analysis Periodic (by Customer) - CR (GB) (System)","C","73728","6A8388A51424185512BA246FD179A766"
"SA050001","SA05","Sales Analysis by Sales Employee (System)","P","",""
"SA050002","SA05","Detailed Sales Analysis - CR (GB) (System)","C","462336","AF3502CBED52D1BC2F595AAF13F05C5F"
"SA110001","SA11","Purchase Analysis by BP (System)","P","",""
"SA110002","SA11","Annual Sales Analysis (by Item) - CR (GB) (System)","C","66048","E81A3C7A067DACC5CF3505D79B26F9C4"
"SA120001","SA12","Purchase Analysis by BP Groups (System)","P","",""
"SA120002","SA12","Annual Sales Analysis (by Item Group) - CR (GB) (System)","C","67072","89A0DB4550E586ED162C13A1748B6AD4"
"SA130001","SA13","Analysis by Items (System)","P","",""
"SA130002","SA13","Periodic Sales Analysis (by Item) - CR (GB) (System)","C","77312","EFBD415C6705080BD54BCB6D6906E78B"
"SA140001","SA14","Purchase Analysis by Item Groups (System)","P","",""
"SA140002","SA14","Periodic Sales Analysis (by Item Group) - CR (GB) (System)","C","75264","7D16AEF5A59E89F6D43389651BB19585"
"SA150001","SA15","Purchase Analysis by Sales Employee (System)","P","",""
"SA150002","SA15","Detailed Sales Analysis (by Item) - CR (GB) (System)","C","464384","BF13ADC47A025F77CB61AB59008668CD"
"SA210001","SA21","Sales Analysis - Single (System)","P","",""
"SA210002","SA21","Sales Analysis by Sales Employee - CR (GB) (System)","C","67584","E2122B48296619D6F153058119CCDCE0"
"SA230001","SA23","Sales Analysis (System)","P","",""
"SA230002","SA23","Periodic Sales Analysis (by Sales Emoloyee) - CR (GB) (System)","C","73216","C71D81A67D84C5105832E99728FC5570"
"SA310001","SA31","Monthly Sales Analysis (System)","P","",""
"SA310003","SA31","Annual Purchase Analysis by BP  (EhP) (System)","P","",""
"SA320001","SA32","Purchase Analysis by BP Groups (System)","P","",""
"SA320003","SA32","Annual Purchase Analysis by BP Group  (EhP) (System)","P","",""
"SA330001","SA33","Purchase Analysis by BP (System)","P","",""
"SA330003","SA33","Purchase Analysis by BP  (EhP) (System)","P","",""
"SA340001","SA34","Purchase Analysis by BP (System)","P","",""
"SA340003","SA34","Purchase Analysis by BP Group  (EhP) (System)","P","",""
"SA350001","SA35","Purchase Analysis by BP (System)","P","",""
"SA350003","SA35","Purchase Analysis by Sales Employee - Detail  (EhP) (System)","P","",""
"SA410001","SA41","Purchase Analysis by Items (System)","P","",""
"SA410003","SA41","Annual Purchase Analysis by Items  (EhP) (System)","P","",""
"SA420001","SA42","Purchase Analysis by Items (System)","P","",""
"SA420003","SA42","Annual Purchase Analysis by Item Groups  (EhP) (System)","P","",""
"SA430001","SA43","Purchase Analysis by Items (System)","P","",""
"SA430003","SA43","Purchase Analysis by Items  (EhP) (System)","P","",""
"SA440001","SA44","Purchase Analysis by Item Groups (System)","P","",""
"SA440003","SA44","Purchase Analysis by Item Groups  (EhP) (System)","P","",""
"SA450001","SA45","Purchase Analysis by Items (System)","P","",""
"SA450003","SA45","Purchase Analysis by Items - Detail  (EhP) (System)","P","",""
"SA510001","SA51","Purchase Analysis by Sales Employee (System)","P","",""
"SA510003","SA51","Annual Purchase Analysis by Sales Employee  (EhP) (System)","P","",""
"SA530001","SA53","Purchase Analysis by Sales Employee (System)","P","",""
"SA530003","SA53","Purchase Analysis by Sales Employee  (EhP) (System)","P","",""
"SAN10001","SAN1","Sales Analysis - Single (System)","P","",""
"SAN20001","SAN2","Sales Analysis (System)","P","",""
"SAN30001","SAN3","Sales Analysis (System)","P","",""
"SAR10001","SAR1","Stock Ageing Report (System)","P","",""
"SAR10002","SAR1","Stock Aging Report - CR (System)","C","82432","A79CD51366B4592A7C6121FF224337CA"
"SAR20001","SAR2","Stock Ageing Report - Item Details (System)","P","",""
"SAR20002","SAR2","Stock Aging Report(Item Details) - CR (System)","C","63488","A6C11BD32459828E90C682B2625F83F5"
"SCL10001","SCL1","Service Call (System)","P","",""
"SCL20001","SCL2","Technician Form (System)","P","",""
"SCL30001","SCL3","Service Call Report (System)","P","",""
"SCL40001","SCL4","Service Call - Average Closure Time (System)","P","",""
"SCL50001","SCL5","Service Call - Calls by Queue (System)","P","",""
"SCL60001","SCL6","Service Call - Response  by Assigned to (System)","P","",""
"SLR10001","SLR1","Sales Ledger Report (System)","P","",""
"SLT10001","SLT1","Solutions Knowledge Base (System)","P","",""
"SPP10001","SPP1","Special Prices (System)","P","",""
"SPP20001","SPP2","Price List Expansions (System)","P","",""
"SRI10001","SRI1","Serial Numbers Report (System)","P","",""
"SRI20001","SRI2","Serial Number Transactions Report (System)","P","",""
"SRI30001","SRI3","Serial Numbers Structures (System)","P","",""
"SRN10001","SRN1","Serial Numbers Report (System)","P","",""
"SRN20001","SRN2","Serial Number Transactions Report (System)","P","",""
"SRN30001","SRN3","Serial Numbers Structures (System)","P","",""
"SYR10001","SYR1","Summary Report (System)","P","",""
"TAX10001","TAX1","Tax Report (System)","P","",""
"TAX20001","TAX2","Sales and Purchase Ledger (System)","P","",""
"TAX30001","TAX3","Sales And Purchase Ledger (System)","P","",""
"TAX40001","TAX4","Deferred Sales and Purchase Ledger (System)","P","",""
"TAX70001","TAX7","Appendix O & P (System)","P","",""
"TAX80001","TAX8","Annual Sales List (System)","P","",""
"TAX90001","TAX9","Certificate (System)","P","",""
"TAZ10001","TAZ1","Cash Flow Report (System)","P","",""
"TAZ20001","TAZ2","Cash Flow Report (Detailed) (System)","P","",""
"TAZ20002","TAZ2","Cash Flow Report (Detailed) - CR (GB) (System)","C","67584","C77F06D7E0A30D69BAE51E6B102243E6"
"TAZ20003","TAZ2","Cash Flow Report (Detailed)  (EhP) (System)","P","",""
"TAZ20004","TAZ2","Cash Flow - Periodic (System)","C","244224","F3794849535C032DC71B5E9BE35F4258"
"TAZ20005","TAZ2","Cash Flow (System)","C","244224","9A71AEE35BE3427C9389E91FB9722A01"
"TDL10001","TDL1","Open Documents (System)","P","",""
"TDL10002","TDL1","Open Documents - CR (System)","C","67584","4CC180FEF852393E8114BB8862AD0F88"
"TDL10003","TDL1","Open Documents  (EhP) (System)","P","",""
"TDL20001","TDL2","Missing Items (System)","P","",""
"TDL30001","TDL3","Open Production Orders (System)","P","",""
"TDL40001","TDL4","Open Stock Counting - CR (System)","C","52736","C9CB5BAB344DD929221C8B0832FF26B5"
"USRT0001","USRT","User Report (System)","P","",""
"VAT10001","VAT1","Tax Report (System)","P","",""
"VAT20001","VAT2","Monthly Tax Report (System)","P","",""
"VAT30001","VAT3","VAT Report (System) (System)","P","",""
"VAT40001","VAT4","347 Report (System)","P","",""
"VAT50001","VAT5","Tax Report (System)","P","",""
"VAT60001","VAT6","Tax Report (System)","P","",""
"VAT70001","VAT7","EU Sales Report (System)","P","",""
"VAT80001","VAT8","Tax Error Report (System)","P","",""
"VAT90001","VAT9","EU Sales Report - Switch Sides (System)","P","",""
"VAT90002","VAT9","EU Sales Report (Switch Sides) - CR (GB) (System)","C","63488","DFCC974B1CFE02FEA70786F5FC896B22"
"VDD10001","VDD1","Deduction at Source from Suppliers (System)","P","",""
"VDD20001","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VDD20003","VDD2","Deduction at Source Certificate (System)","P","",""
"VDD20005","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VDD20007","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VDD20009","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VDD20011","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VDD20013","VDD2","Detailed Deduction Report from Supplier (System)","P","",""
"VNR10001","VNR1","Input VAT Analytical Report (System)","P","",""
"VPM10001","VPM1","Outgoing Payment (System)","P","",""
"VPM10002","VPM1","Outgoing Payment - CR (GB) (System)","C","186880","382A4C8661BF20B001CB7CF24F9E2F2C"
"VPM10003","VPM1","Outgoing Payment Draft - CR (GB) (System)","C","175616","56DF7DB340F97A1BD52E5C93BBD30B82"
"VPM10004","VPM1","1.Outgoing Payments_ใบจ่ายชำระ","C","118272","304D4F745510A56CC0CD91743B8E0A42"
"VPM20001","VPM2","Payment Order from OPEX (System)","P","",""
"VPM30001","VPM3","Bill of Exchange - Outgoing Payments (System)","P","",""
"VPM30003","VPM3","Letter to Bank (System)","P","",""
"VPM30005","VPM3","Letter to Supplier (System)","P","",""
"VPM30007","VPM3","Promissory Note (System)","P","",""
"VPM40001","VPM4","Payment Order from OPEX (System)","P","",""
"WHT10001","WHT1","Withholding Tax (System)","P","",""
"WHT20001","WHT2","Supplier Report (System)","P","",""
"WHT30001","WHT3","Detailed Report (System)","P","",""
"WHT40001","WHT4","Withholding Tax - Detailed (System)","P","",""
"WHT50001","WHT5","Statement of Payment to Supplier (System)","P","",""
"WKO10001","WKO1","Work Instructions (System)","P","",""
"WKO20001","WKO2","Production Recommendations Report (System)","P","",""
"WKO30001","WKO3","Open Work Instructions (System)","P","",""
"WOR10001","WOR1","Production Order (System)","P","",""
"WOR10002","WOR1","1.Production Order_ใบสั่งผลิต","C","93184","291E932974249E9553D4611B4D5ABDE9"
"WTQ10001","WTQ1","Stock Transfer Request - CR (System)","C","113664","A4AE38067703A26BC39EBC9A1184ED0E"
"WTQ10002","WTQ1","1.Inventory Transfer Request_ใบขอโอนสินค้า","C","89088","0E0C407898F393525203AA73913F3403"
"WTR10001","WTR1","Stock Transfer (System)","P","",""
"WTR10002","WTR1","1.Inventory Transfer_ใบโอนสินค้า","C","89600","196F628E06D8C68595AACCAA9BF3FA12"
"WTR10003","WTR1","2.Inventory Transfer_ใบโอนสินค้า_(Batch&Serial)","C","99328","BA1E5B626D5DB03C2FA39E94A09ED927"
