"DocCode","TypeCode","DocName","Category","Bytes","RptHash"
"IGE20003","IGE2","2.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch&Serial)","C","112640","560D6AAF1D84DC70EF4BE6B7F7D1F340"
"IGN10001","IGN1","Goods Receipt (System)","P","",""
"IGN10002","IGN1","1.Goods Receipt_ใบรับสินค้า","C","88576","99682468A57B1CEBA48662804EDF1710"
"IGN10003","IGN1","2.Goods Receipt_ใบรับสินค้า_(Batch&Serial)","C","84480","FACDE11ED36A8B988193FF0C5BA3CA29"
"IGN20001","IGN2","Receipt from Production (System)","P","",""
"IGN20002","IGN2","1.Receipt from Production_ใบรับสินค้าจากการผลิต","C","87552","A7D47ACE1E8CFEB886C0F906C5497193"
"IGN20003","IGN2","2.Receipt from Production_ใบรับสินค้าจากการผลิต_(Batch&Serial)","C","111104","ED30A1D50DFF673AF3331C7D014A8187"
"INB10001","INB1","AR Bill (Service) (System)","P","",""
"INB20001","INB2","AR Bill (Items) (System)","P","",""
"INB30001","INB3","AR Bill (Document Summary) (System)","P","",""
"INC10001","INC1","Inventory Counting - CR (System)","C","118784","B4F71DA07871D3C83777EE10D3208C07"
"INC10002","INC1","1.Inventory Counting_ใบตรวจนับสินค้า_Befor","C","78336","23C54C64508B3A0488A9F438F482E818"
"INC10003","INC1","2.Inventory Counting_ใบหลังตรวจนับสินค้า_After","C","79872","43A18A6D09011051AB5E22A6AA14956E"
"INE10001","INE1","AR Export Invoice (Service) (System)","P","",""
"INE20001","INE2","AR Export Invoice (Items) (System)","P","",""
"INE30001","INE3","AR Export Invoice (Document Summary) (System)","P","",""
"INM10001","INM1","Stocktaking (System)","P","",""
"INM10002","INM1","Stocktaking Report - CR (GB) (System)","C","65536","92F200ADC9055D8A47A5A0DBC2AF9A21"
"INM20001","INM2","Stocktaking Update (System)","P","",""
"INR10001","INR1","Stock Valuation (System)","P","",""
"INR20001","INR2","Stock Valuation (System)","P","",""
"INR30001","INR3","Stock Valuation Report (System)","P","",""
"INR30002","INR3","Stock Valuation Report Simulation Report (by Items) - CR (System)","C","69120","709FD97B86C9A14B67E0404AB2D68D6C"
"INR30003","INR3","Stock Valuation Report (EhP) (System)","P","",""
"INS10001","INS1","Customer Equipment Card Report (System)","P","",""
"INV10001","INV1","Invoice (System)","P","",""
"INV10002","INV1","AR Invoice (Service) - CR (GB) (System)","C","416256","836833BD2C218A583DD891EAC6B0A48C"
"INV10003","INV1","Invoice_Service UK (System)","P","",""
"INV10005","INV1","VAT Only Invoice (System)","P","",""
"INV10007","INV1","Invoice (DIN) (System)","P","",""
"INV20001","INV2","Invoice_Item Type and Details (System)","P","",""
"INV20002","INV2","Packing List - CR (GB) (System)","C","146944","4CF524B9683D53B81C476434575E818A"
"INV20003","INV2","AR Invoice (System)","P","",""
"INV20004","INV2","AR Invoice (Item) - CR (GB) (System)","C","476160","CFDACE36D9F72B4C5B49E1C87BAA3785"
"INV20005","INV2","Invoice Master Template (System)","P","",""
"INV20006","INV2","1.A/R Invoice_ใบแจ้งหนี้","C","100864","4603894C03AABE18B61ABAABBAF08FD7"
"INV20007","INV2","VAT Only Invoice (System)","P","",""
"INV20008","INV2","2.A/R Invoice_ใบแจ้งหนี้_(Dis)","C","90112","32117CAF5F3908C3A5BBE03713C19FF1"
"INV20009","INV2","Invoice (DIN) (System)","P","",""
"INV20010","INV2","3.Tax Invoice_ใบกำกับภาษี","C","97792","B1782EDE58081D9AE77801362FB10C38"
"INV20011","INV2","Invoice Including Batch/SN (System)","P","",""
"INV20012","INV2","4.A/R Invoice/Tax Invoice_ใบแจ้งหนี้/ใบกำกับภาษี","C","97792","28CE25AF7E10818B2E67EB42EEDDFB18"
